Name,Category,Education,Skills,Experience
Susan Edwards,Mechanical Engineer,BE,"autocad, cam, mechanics, solidworks, thermodynamics",12.4
David Vazquez,Python Developer,BTECH,"flask, fastapi, django, pandas",6.1
Anna Butler MD,Python Developer,BTECH,"pandas, flask, fastapi, python, django",14.0
Kevin Welch,Java Developer,MTECH,"hibernate, spring, rest api, java, microservices",11.1
Lisa Yang,Hadoop,BE,"pig, spark, mapreduce, ,, hive",5.0
Eric Fowler,Database,BTECH,"mongodb, oracle, sql",14.4
Danielle Tran,Java Developer,BE,"spring, microservices, hibernate, rest api",5.3
William Rowland,Database,BE,"mongodb, sql, dbms",2.4
Emily Jensen,DotNet Developer,BE,"mvc, entity framework, .net, asp.net, c#",6.1
Jeffrey Rivera,Business Analyst,BTECH,"analytics, requirement gathering, excel",6.3
Mr. Kevin Lloyd,Civil Engineer,BTECH,"estimation, staad pro, autocad, structural analysis, construction",2.4
Randall Potter,ETL Developer,BE,"sql, etl, informatica, ssrs, data warehousing",9.7
Steven Myers,Sales,BTECH,"signal processing, matlab, circuit design, electronics, vlsi",6.3
Amanda Torres,Business Analyst,BTECH,"sql, power bi, requirement gathering",11.0
Abigail Pierce,PMO,BTECH,"agile, ms project, scrum, project management",0.1
Ryan Mooney,Python Developer,MTECH,"mapreduce, hive, spark, pig",11.9
Christine Haney,Mechanical Engineer,BTECH,"thermodynamics, solidworks, mechanics, autocad, cam",13.5
Natasha Carey,Database,MTECH,"mongodb, postgresql, sql",0.3
Russell Long,Hadoop,BE,",, spark, pig, hive",0.8
Jason Wilson,Electrical Engineer,BTECH,"matlab, vlsi, signal processing, circuit design, electronics",4.6
Amber Cox,HR,BA,"employee relations, interviewing, communication, ms excel",14.2
Shawn Wallace,Data Scientist,MTECH,"deep learning, statistics, data mining, ml, python",0.0
Andrea Patel,Arts,MTECH,"ethereum, , web3.js, smart contracts",3.3
Veronica Perry,Engineer,BE,"embedded systems, c++, control systems",14.6
Robert Hartman,Electrical Engineer,BE,"vlsi, signal processing, circuit design",3.3
Erin Moore,HR,BA,"communication, ms excel, interviewing, recruitment",7.9
Dawn Wise,DevOps,BTECH,"project management, jira, agile",13.6
Mrs. Lisa Oliver,Blockchain,MTECH,"web3.js, , smart contracts, solidity",9.5
Thomas Schmidt,Database,MTECH,"sql, mongodb, postgresql, oracle",14.3
Amanda Jones,Business Analyst,MBA,"power bi, sql, excel",14.3
Angela Wallace,,BA,,0.5
Cynthia Vazquez,DevOps,MTECH,"ansible, docker, kubernetes, ci/cd, jenkins",3.6
Jack Powell,Operations Manager,MBA,"strategy, supply chain, team management",6.8
Jason Parker,Sales,MBA,"cold calling, lead generation, negotiation, ",10.4
Melvin Ferguson,Operations Manager,BTECH,"logistics, operations, supply chain",9.5
Eric Holmes,Mechanical Engineer,BE,"solidworks, cam, mechanics, thermodynamics",10.0
Benjamin White DVM,ETL Developer,BTECH,"data warehousing, informatica, etl, sql",9.8
Kenneth Fox,ETL Developer,MTECH,"ssrs, etl, sql, data warehousing",12.4
Sandra Simmons MD,Health and fitness,BA,"nutrition, yoga, fitness coaching, training, anatomy",12.8
Amy Ruiz,Web Designing,BTECH,"javascript, html, css, bootstrap",4.0
Laura Sellers,Arts,BA,"sculpting,    , painting, psychology",14.2
Ian Fields,Tableau Developer,BTECH,"bi tools, dashboards, sql",4.1
Michael Ruiz,DevOps,MTECH,"ansible, docker, jenkins, ci/cd, kubernetes",2.5
Sarah Gray,HR,BA,"recruitment, ms excel, communication",11.0
Jon Reyes,Arts,BA,"psychology, drawing, sociology, sculpting, history",7.2
Eduardo Taylor,Operations Manager,BTECH,"team management, strategy, supply chain, operations",5.6
Donna Torres,Automation Testing,BTECH,"pytest, selenium, junit, automation, python",14.4
Mandy Calderon,Python Developer,MTECH,"python, django, flask, fastapi",12.8
Bianca Burns,Automation Testing,BE,"junit, pytest, automation",7.0
Tyler White,Engineer,BE,"rest api, microservices, java",2.8
Daniel Martin,Electrical Engineer,BTECH,"matlab, circuit design, electronics, signal processing",10.7
David Valencia,Sales,BA,"crm, negotiation, lead generation, , cold calling",11.7
Anthony Clark,Mechanical Engineer,BE,"autocad, thermodynamics, mechanics, solidworks, cam",0.8
Amy Shea,ETL Developer,BTECH,"informatica, sql, data warehousing, ssrs",12.0
Emily Johnson,Electrical Engineer,BTECH,"team management, operations, logistics, supply chain",14.5
Tom Elliott,Python Developer,BE,"fastapi, django, pandas, python",13.5
Benjamin Williams,Advocate,BA,"law, contracts, legal research",8.4
Tara Gonzales,Engineer,BSC,"fitness coaching, training, yoga, nutrition, anatomy",0.8
John Wilson,Hadoop,BTECH,"pig, mapreduce, hive",11.2
Michael Simmons II,Arts,BA,"drawing, sociology, history",0.4
Peter Randall,Tableau Developer,BTECH,"data visualization, bi tools, tableau, sql",0.2
Angela Peterson,Hadoop,BTECH,"mapreduce, pig, hive, ,",7.1
Diamond Carey,Tableau Developer,MBA,"bi tools, tableau, sql",13.0
Dana Murray,DevOps,BE,"kubernetes, ansible, docker",13.0
Zachary Rogers,Electrical Engineer,BTECH,"vlsi, signal processing, circuit design, matlab",2.4
Ronald Bishop,ETL Developer,BE,"informatica, data warehousing, sql, ssrs, etl",3.4
Joshua Ballard,Tableau Developer,BTECH,,0.2
Shari Adams,ETL Developer,BTECH,"etl, informatica, ssrs, sql",1.1
David Stephens,Advocate,BA,"drafting, legal research, litigation, law",7.4
Dr. Lynn Alvarado,SAP Developer,BTECH,"sap, sap hana, erp, abap",1.9
Ronald Alexander,Tableau Developer,MBA,"bi tools, tableau, data visualization",4.1
Trevor Silva,Network Security Engineer,BE,"firewall, vpn, networking, cybersecurity, security",2.9
Carol Adams,Civil Engineer,BE,"construction, staad pro, autocad, structural analysis",3.5
Danielle Guerra,Operations Manager,MBA,"team management, logistics, supply chain, strategy, operations",12.1
Mckenzie Keller,Python Developer,BTECH,"django, pandas, flask, python, fastapi",14.5
James Hayes,Health and fitness,BTECH,"pytest, automation, selenium",4.8
Tracy Vargas,Operations Manager,BTECH,"supply chain, strategy, team management",1.4
Deborah Cardenas,Data Scientist,BTECH,"statistics, python, deep learning",3.8
Nicholas Burton,Health and fitness,BA,"yoga, anatomy, fitness coaching",3.6
Todd Vasquez,Health and fitness,BA,,6.5
Sandra Pearson,ETL Developer,BTECH,"ssrs, etl, sql, data warehousing",3.5
Samantha Johnson,PMO,MBA,"jira, scrum, project management, ms project",0.9
Ann Patel,Advocate,BA,"contracts, litigation, drafting, law, legal research",13.2
Dawn Fuentes,Engineer,BE,"control systems, c++, c",0.8
Norma Sherman,Web Designing,BSC,"bootstrap, javascript, figma, html, css",1.0
John Shepard,Operations Manager,BTECH,"strategy, team management, supply chain",14.9
Anthony Barnes,Tableau Developer,BTECH,"data visualization, dashboards, sql",5.6
Michelle Serrano,Operations Manager,BTECH,"supply chain, strategy, team management",8.0
Wayne Reyes,Database,BE,"dbms, oracle, postgresql, sql",8.7
Anthony Gibson,ETL Developer,BE,"data warehousing, etl, sql, informatica, ssrs",5.5
Raymond Shannon,Engineer,BTECH,"control systems, embedded systems, c++, c, matlab",11.0
Pamela Berger,,MTECH,"mapreduce, ,, pig, spark, hive",4.9
Debbie Green,Civil Engineer,BTECH,"estimation, autocad, construction, structural analysis",10.8
Travis Davis,PMO,MBA,"project management, scrum, ms project",12.3
Priscilla Adkins,PMO,BTECH,"scrum, ms project, agile, jira, project management",4.9
Dan Goodman,PMO,BTECH,"ms project, agile, project management, jira",3.1
Adam Young,PMO,BE,"postgresql, mongodb, dbms, oracle",13.9
Timothy Washington,Civil Engineer,BE,"estimation, staad pro, autocad, structural analysis, construction",8.3
Chris Carpenter,Advocate,BA,"legal research, law, litigation, drafting",14.4
Alfred Ramos,Web Designing,BSC,"html, bootstrap, css",13.9
Michael Romero,HR,BA,"interviewing, recruitment, communication",2.5
Vanessa Hernandez,PMO,BTECH,"scrum, ms project, agile",3.9
Zachary Murphy,Python Developer,BTECH,"flask, pandas, fastapi, django",10.3
Jeffrey Miller,Hadoop,BTECH,"sap hana, fiori, erp, sap, abap",10.2
Amber Key,Health and fitness,BA,"training, yoga, nutrition, fitness coaching, anatomy",0.9
Benjamin Taylor,Business Analyst,MBA,"sql, analytics, requirement gathering, excel",2.2
Matthew Yu,PMO,MBA,"jira, scrum, project management",13.6
Travis Mcintyre,Advocate,MBA,"interviewing, ms excel, employee relations",14.4
Sean Hart,Database,MTECH,"mongodb, oracle, postgresql, sql",7.6
Samantha Edwards,Civil Engineer,BE,"estimation, staad pro, structural analysis",3.3
Gregory Frederick,PMO,BTECH,"ms project, project management, agile, scrum, jira",12.9
Tyler Johnson,PMO,BTECH,"jira, scrum, agile, project management, ms project",5.4
John Gillespie,HR,BA,"communication, interviewing, recruitment, employee relations, ms excel",5.6
Kevin Weber,Web Designing,BA,"javascript, css, bootstrap, figma, html",9.6
Charles Foster,Blockchain,MTECH,", smart contracts, ethereum, solidity, web3.js",3.6
Jonathan Mercado,Mechanical Engineer,BE,"solidworks, cam, mechanics, autocad",12.5
Brianna Page,Advocate,PHD,"litigation, legal research, contracts",10.5
Edward Phillips,SAP Developer,MBA,"sap, abap, sap hana, erp, fiori",14.1
Jacqueline Owen,Java Developer,BTECH,"microservices, spring, rest api, hibernate",2.7
Ian Romero,,BE,"dbms, oracle, sql",3.1
Madeline Davis,Mechanical Engineer,BE,"cam, autocad, thermodynamics, solidworks",9.4
Timothy Foster,Advocate,BA,"law, legal research, drafting",12.9
Cody Estes,HR,BTECH,"statistics, data mining, python, deep learning",9.8
Troy Williams,Automation Testing,BTECH,"junit, selenium, automation, pytest",13.0
Sarah Wright,Tableau Developer,BE,"vpn, firewall, networking, cybersecurity, security",10.7
Stephen Fry,Python Developer,BTECH,"python, fastapi, flask, django, pandas",0.2
Thomas Lozano,Python Developer,MTECH,"python, pandas, flask, fastapi, django",10.3
Annette Gallagher,Operations Manager,MBA,"strategy, logistics, operations",11.2
Kevin Parker,Advocate,PHD,"law, legal research, drafting",4.3
Andrew Shields,Data Scientist,BTECH,"deep learning, python, ml",4.4
Stacy Hudson,HR,MBA,"ms excel, employee relations, recruitment, interviewing",14.4
Betty Pierce,ETL Developer,BE,"data warehousing, ssrs, informatica, etl",1.4
Nichole Snow,Engineer,BE,"c++, matlab, c, control systems",4.0
Cindy Haney,Mechanical Engineer,BE,"autocad, cam, solidworks, thermodynamics, mechanics",2.0
William Jones,SAP Developer,MBA,"sap hana, fiori, abap, sap",14.5
Eric Hicks,Health and fitness,BSC,"nutrition, fitness coaching, anatomy, training, yoga",4.9
Brett Armstrong,ETL Developer,BE,"data warehousing, ssrs, etl",8.8
Michael Griffin,Business Analyst,BA,"requirement gathering, excel, power bi, sql, analytics",10.6
Emily Acevedo,HR,BA,"ms excel, interviewing, recruitment, communication, employee relations",7.9
Jacob Hudson,Health and fitness,BE,"entity framework, .net, asp.net",10.7
Amy Calhoun,Operations Manager,MBA,"operations, strategy, team management, logistics",3.9
Natalie Keller,Health and fitness,BSC,"nutrition, fitness coaching, anatomy, yoga",9.3
Darren Murray,Automation Testing,BTECH,"automation, python, pytest",1.1
Richard Smith,Sales,BA,"negotiation, lead generation, , crm",0.1
William Moss,Operations Manager,BTECH,"team management, logistics, strategy, supply chain, operations",14.8
Alexander Mcdonald,DevOps,BE,"kubernetes, jenkins, ansible, docker, ci/cd",9.1
Donald Brennan,Advocate,BA,"legal research, drafting, contracts, law, litigation",8.0
Louis Hudson,Advocate,BE,"signal processing, matlab, electronics, vlsi, circuit design",8.4
David Wilson,Business Analyst,BA,"excel, power bi, analytics",0.8
Brenda Mann,Network Security Engineer,BE,"networking, security, firewall",3.9
Joseph Strickland,Database,BE,"cam, autocad, mechanics",10.9
Christopher Schroeder,Operations Manager,MBA,"supply chain, strategy, team management, logistics, operations",8.8
Angela Taylor,Blockchain,MBA,", negotiation, crm, lead generation",5.8
Jason Holland,Java Developer,BE,"spring, rest api, hibernate",9.3
Anthony Harrison,Database,BE,"sql, postgresql, oracle, dbms, mongodb",2.3
Eric Khan,Java Developer,BE,"spring, rest api, hibernate, java",2.4
James Ruiz,Tableau Developer,BTECH,"data visualization, dashboards, tableau, sql",13.3
Natalie Morales,Blockchain,BTECH,", web3.js, smart contracts",4.1
Jennifer Acevedo,Automation Testing,BE,"junit, selenium, pytest, python",12.1
Catherine Freeman,Automation Testing,BA,"psychology, history, sculpting,    ",10.3
Tami Jackson,,BTECH,"pytest, automation, selenium, python",6.6
Jesse Welch,Operations Manager,MBA,"strategy, supply chain, operations, logistics",4.7
Derek Skinner,Sales,MBA,"negotiation, crm, , lead generation, cold calling",5.7
Cheryl Schneider,Sales,MBA,"negotiation, cold calling, crm",1.9
Nicholas Adams,Operations Manager,MBA,"team management, operations, logistics, supply chain",7.4
Dr. Darryl Schmidt,Network Security Engineer,BTECH,"firewall, networking, cybersecurity, vpn",4.0
Shawn Morales,Network Security Engineer,BE,"networking, vpn, security, cybersecurity, firewall",4.1
Michael Moore,Blockchain,BA,"communication, recruitment, employee relations",0.4
Lacey Hayden,Java Developer,BTECH,"spring, microservices, hibernate, rest api",3.5
Rodney Barker,DotNet Developer,BTECH,"entity framework, asp.net, mvc, c#",3.2
Victoria Maldonado,Database,BA,"painting,    , sociology, history, drawing",5.9
Jeff Compton,Engineer,BTECH,"control systems, matlab, c++",10.4
Kathryn Bender,Python Developer,BE,"pandas, django, flask",8.6
Rodney Pittman,Advocate,PHD,"legal research, contracts, law, litigation, drafting",0.5
Erin Larsen,Network Security Engineer,BTECH,"cybersecurity, networking, firewall",11.7
Michael Barrett,PMO,MBA,"scrum, jira, project management, agile",0.8
Chase Mitchell,ETL Developer,BTECH,"sql, informatica, etl, ssrs, data warehousing",8.1
Jennifer Nelson,Network Security Engineer,BE,"security, firewall, cybersecurity, networking, vpn",3.2
Andrew Haney,Arts,BA,"history,    , drawing, sculpting",2.2
Jeffrey Grant,Mechanical Engineer,BTECH,"thermodynamics, cam, mechanics, solidworks",9.4
Victor Tucker,DevOps,BE,"ci/cd, docker, kubernetes",7.9
Rachel Robles,Arts,BA,"painting, sociology, psychology,    ",12.5
Sally Haas,SAP Developer,BTECH,"abap, sap, erp, fiori",7.1
Todd Olson,Civil Engineer,BTECH,"estimation, autocad, construction, structural analysis, staad pro",12.5
Kelly Wright,ETL Developer,BTECH,"ssrs, data warehousing, sql",0.0
Danny Bradley,Electrical Engineer,BA,"negotiation, cold calling, lead generation, , crm",14.6
Cheyenne Russell,SAP Developer,BTECH,"erp, fiori, sap hana, sap",0.9
Deborah Lopez,SAP Developer,MBA,"erp, sap, sap hana",7.5
Juan Morales,SAP Developer,MBA,"sap, fiori, erp",9.8
Denise Moreno,Engineer,BTECH,"security, cybersecurity, firewall, networking, vpn",11.4
Brenda Miller,Tableau Developer,MBA,"data visualization, tableau, dashboards, bi tools, sql",14.7
Gary Collins,Network Security Engineer,BE,"cybersecurity, security, firewall, vpn, networking",9.9
Joel Chambers,DevOps,MTECH,"docker, jenkins, ci/cd",5.5
Michelle Gray,Python Developer,BTECH,"flask, python, fastapi, django",2.8
Ashley Mclean,PMO,MBA,"ms project, scrum, agile, project management",8.9
Gabriel Paul,Mechanical Engineer,BTECH,"microservices, hibernate, rest api",10.3
Cynthia Crawford,Operations Manager,BTECH,"operations, strategy, team management, logistics, supply chain",0.2
Joan Roy,HR,BA,"recruitment, ms excel, employee relations",1.8
Kendra Cooley,Network Security Engineer,BTECH,"networking, cybersecurity, firewall, security",0.6
Peter Palmer,DotNet Developer,BTECH,"c#, asp.net, entity framework, mvc",6.9
Stephanie Thomas,Mechanical Engineer,BE,"solidworks, autocad, cam, mechanics",6.7
Andrea Williams,Hadoop,MTECH,",, spark, mapreduce",7.2
Annette Ho,SAP Developer,BTECH,"erp, abap, sap hana, fiori, sap",5.7
Daniel Mueller,Python Developer,BE,"fastapi, pandas, python",2.0
Jessica Wagner,Business Analyst,BTECH,"power bi, analytics, sql",7.2
Eric Howard,Operations Manager,MBA,"supply chain, logistics, strategy, team management",3.9
Monica Lee,Data Scientist,MTECH,"statistics, deep learning, ml",2.7
Vanessa Guerrero,Web Designing,BSC,"javascript, css, bootstrap",7.8
Michael Gardner,Electrical Engineer,BE,"signal processing, vlsi, matlab",12.9
Megan Johnson,Operations Manager,MBA,"logistics, team management, supply chain, operations, strategy",13.4
Johnny Davis,DotNet Developer,BE,".net, mvc, asp.net, c#",5.8
Crystal Davis,Data Scientist,BTECH,"deep learning, python, statistics, ml, data mining",11.6
John Garcia,Automation Testing,BE,"python, automation, junit, selenium",1.8
Gina Bishop,,BA,"lead generation, crm, ",5.0
Patrick Cooper MD,Web Designing,BSC,"bootstrap, figma, javascript, css, html",5.5
Amanda Green,ETL Developer,BE,"ssrs, etl, informatica, sql, data warehousing",3.2
Joy Dunn,Web Designing,BTECH,"pig, ,, hive",8.0
Rachael Cruz,Web Designing,BTECH,"bootstrap, html, javascript, css, figma",0.6
Felicia Sutton,Business Analyst,MBA,"excel, requirement gathering, analytics, power bi",12.1
Christopher Cook,DevOps,MTECH,"jenkins, ci/cd, docker, ansible, kubernetes",2.1
Tina Nash,Hadoop,BTECH,"spark, mapreduce, ,, pig",14.7
Joshua Duncan,SAP Developer,MBA,"erp, sap hana, fiori, sap, abap",11.0
Christina Johnson DVM,Database,MTECH,"oracle, postgresql, dbms, mongodb",8.5
Michael Green,Electrical Engineer,BTECH,"vlsi, signal processing, matlab, electronics, circuit design",12.1
Raymond Best,Civil Engineer,BE,"estimation, autocad, staad pro, construction, structural analysis",6.0
Kristin Macdonald,Arts,BA,"   , sociology, drawing",14.6
Amanda Lozano,Hadoop,MTECH,"hive, pig, spark, mapreduce, ,",9.4
Renee Mitchell,DevOps,BE,"jenkins, ansible, kubernetes, docker, ci/cd",13.9
William Taylor,Database,BE,"mongodb, sql, oracle",7.3
Eric Chavez,Blockchain,BTECH,", smart contracts, ethereum, web3.js",2.5
James Yoder,Sales,BA,"cold calling, negotiation, crm, , lead generation",12.7
Gary Richardson,Hadoop,BTECH,"hive, mapreduce, pig, spark",8.0
Michelle Hanna,DevOps,BE,"jenkins, ansible, kubernetes, ci/cd",4.5
Cody George,Database,BTECH,"postgresql, dbms, mongodb, sql, oracle",8.2
James Avery,Engineer,BTECH,"matlab, control systems, c, c++",9.4
Kevin Cox,Arts,BA,"sociology, drawing, psychology",13.8
William Rowe MD,Java Developer,BTECH,"spring, rest api, microservices, hibernate, java",3.3
Mr. Curtis Price,Arts,BA,"drawing, sculpting,    , painting",3.9
Danielle Walters,Arts,BA,"drawing, sociology, sculpting, history,    ",13.2
William Owen,Health and fitness,BA,"nutrition, training, fitness coaching, anatomy",10.4
Connie Pierce,Engineer,BTECH,"embedded systems, control systems, matlab",2.1
Joshua Smith,Sales,MBA,"cold calling, negotiation, , crm",0.5
Katelyn Hanson,Engineer,BE,"embedded systems, control systems, c++, c",6.5
Jennifer Day,Business Analyst,MBA,"analytics, sql, excel, power bi",6.6
Patricia Lee,DotNet Developer,BTECH,"selenium, pytest, python, automation",15.0
Henry Green,PMO,MBA,"ms project, jira, scrum, agile",4.9
Robert Mcdonald,Civil Engineer,BTECH,"hive, ,, mapreduce",1.7
Robert Martinez,Civil Engineer,BTECH,"structural analysis, autocad, staad pro",2.2
Robert Curtis,Blockchain,MTECH,"web3.js, smart contracts, ethereum",12.0
Hector Rocha,DotNet Developer,BE,"entity framework, .net, asp.net, c#",8.3
Robert Young,Engineer,BTECH,"c, matlab, control systems, embedded systems, c++",8.0
Douglas Johnson,SAP Developer,MBA,"abap, fiori, erp, sap hana",8.2
Beth Carney,Sales,MBA,", cold calling, lead generation",8.2
Sean Tran,HR,MTECH,"pig, ,, hive",2.8
Ashley Watts,Engineer,BTECH,"c, control systems, c++, embedded systems, matlab",4.2
Brittany Nguyen,Data Scientist,MTECH,"ml, data mining, statistics, deep learning",1.3
Shelby Doyle,Web Designing,BSC,"javascript, bootstrap, css, html",11.2
Sarah Villegas,ETL Developer,MTECH,"data warehousing, etl, ssrs, sql, informatica",4.6
Martin Stone,Hadoop,BTECH,"pig, mapreduce, spark",4.3
Michael Walker,Arts,BA,"   , history, sociology",4.6
Melinda Roman,Hadoop,MTECH,"pig, mapreduce, ,, spark, hive",4.7
Jeffrey Reynolds,Database,BTECH,"dbms, postgresql, mongodb, oracle",8.7
James Houston,Hadoop,BE,"hive, spark, ,, mapreduce, pig",3.5
Luke Hunt,Health and fitness,BA,"fitness coaching, training, anatomy, yoga",5.1
Whitney Vargas,Operations Manager,BTECH,"logistics, supply chain, strategy",7.0
Christopher Tucker,Engineer,BTECH,"c++, c, control systems, matlab, embedded systems",1.5
Edwin Adams,SAP Developer,MBA,"erp, abap, fiori, sap hana, sap",3.9
Amanda Harper,Data Scientist,BTECH,"statistics, deep learning, data mining",9.1
Gabriel Duncan,Blockchain,BTECH,"ethereum, solidity, ",1.3
Sarah Bowen,Network Security Engineer,BTECH,"firewall, networking, security",10.9
Michael Carrillo,Database,BTECH,"postgresql, mongodb, oracle, sql",7.4
Crystal Garrison,ETL Developer,MTECH,"sql, etl, data warehousing, informatica, ssrs",5.7
Raymond Duncan,Advocate,PHD,"law, drafting, contracts, litigation",0.7
John Herrera,Blockchain,MTECH,"ethereum, solidity, web3.js, smart contracts, ",0.3
Robert Jones,Data Scientist,BTECH,"dashboards, tableau, data visualization, sql, bi tools",6.5
Joseph Gregory,PMO,BTECH,"project management, agile, ms project",11.2
Dr. David Gonzalez,Database,MTECH,"oracle, dbms, mongodb, postgresql, sql",4.5
David Williams,Business Analyst,BTECH,"requirement gathering, sql, analytics",9.4
Jennifer Holmes,PMO,BTECH,"scrum, ms project, project management, agile, jira",14.5
Natalie Jones,Sales,BTECH,"entity framework, c#, .net, asp.net, mvc",5.8
Shannon Benton,Tableau Developer,MBA,"dashboards, bi tools, sql, tableau",0.0
Erica Hartman,Web Designing,BTECH,"html, bootstrap, css, figma, javascript",6.2
Mario Thomas,Database,BE,"mongodb, postgresql, sql, dbms",4.1
James Jacobson,Web Designing,BSC,"bootstrap, javascript, html",14.4
Anthony Price,Hadoop,BTECH,"web3.js, ethereum, smart contracts, ",4.2
Rachel Lewis,Sales,BA,"cold calling, , crm, negotiation, lead generation",6.7
Jean Larson,Arts,BA,"drawing, sociology, sculpting, painting",2.9
James Bowen,Arts,BSC,"anatomy, fitness coaching, training",6.6
Christopher Lopez,DevOps,BE,"c, embedded systems, c++",0.9
Christina Bell,Mechanical Engineer,BE,"solidworks, thermodynamics, cam, mechanics, autocad",3.9
Margaret Coleman,Advocate,BA,"law, litigation, contracts",8.3
Mary Cox,Tableau Developer,MBA,"data visualization, bi tools, dashboards, tableau",3.8
Laura Matthews,Advocate,PHD,"contracts, legal research, law, drafting",6.0
Mr. Cory Lopez,Electrical Engineer,BTECH,"vlsi, circuit design, signal processing, electronics",11.9
Ricky Mason,Network Security Engineer,MBA,"sap hana, fiori, sap, erp",11.2
Alicia Glass,PMO,BSC,"training, yoga, nutrition",1.9
Christopher Walker,PMO,BTECH,"agile, project management, jira, ms project, scrum",5.6
Barbara Miller,PMO,MBA,"jira, ms project, scrum, agile, project management",0.1
Dr. Jonathan Ortega DDS,Python Developer,BE,"flask, fastapi, python",8.9
Christopher Wilkerson,Blockchain,BTECH,"solidity, ethereum, web3.js, smart contracts",13.0
Rachel Rose,Python Developer,BTECH,"fastapi, pandas, flask, python, django",2.5
David Walsh,Automation Testing,BE,"python, pytest, automation, selenium",3.4
David Serrano,Electrical Engineer,BE,"signal processing, electronics, matlab, circuit design, vlsi",11.4
Daniel Bell,ETL Developer,BTECH,"data warehousing, informatica, sql",9.8
Kimberly Knight,SAP Developer,MBA,"fiori, abap, sap",8.9
Wanda Browning,DevOps,BE,"ansible, jenkins, docker",14.6
Jonathan Bailey,Blockchain,BTECH,"solidity, , web3.js",11.0
Sylvia Santana,Database,MTECH,"mongodb, sql, oracle, postgresql",10.4
Brian Norris,SAP Developer,MBA,"erp, abap, sap hana, sap",1.2
Nicole Montgomery,Tableau Developer,MBA,"tableau, sql, bi tools, data visualization",8.1
Roy Huerta,Electrical Engineer,BE,"signal processing, matlab, electronics",14.7
Kimberly Avila,HR,PHD,"litigation, legal research, contracts, drafting, law",5.5
Eddie Ashley,Electrical Engineer,BE,"circuit design, matlab, electronics, vlsi",5.5
Richard Leonard PhD,SAP Developer,BTECH,"abap, sap hana, fiori, sap, erp",5.3
Darren Beck,Network Security Engineer,BTECH,"firewall, vpn, networking, security, cybersecurity",8.0
Timothy Gentry,Automation Testing,BTECH,"pytest, automation, junit, selenium",5.9
Shelley Thomas,Operations Manager,BTECH,"strategy, operations, logistics, supply chain",5.4
Jesus Leonard,PMO,BTECH,"project management, jira, agile, ms project, scrum",0.6
